SRC,TGT,VOT,RES,YEA,DAT,TXT
Malinaccier,Malcolmxl5,1,1,2008,"22:10, 25 August 2008","'''Support'''.  I don't see anything wrong with giving the candidate the tools. <font  face=""georgia"">'''"
Harland1,KnightLago,1,1,2008,"17:53, 27 March 2008","'''Support''' I trust this editor not to abuse the tools, and he will do much good with them."
Avraham,VanTucky,1,1,2008,"22:06, 17 April 2008","'''Support''' Learning from experience is one of the most important characteristics that sysop's need to have, and an example of good [[User:Avraham/RfA-B|judgment]]. --"
Mazca,Cailil,1,1,2008,"19:29, 3 July 2008","'''Support''', per great history of calm resolution of problems, and an excellent answer to question 3. I've opposed RfA's in the past for candidates that make dodgy AfD arguments, but the few that have been raised are a while ago and are pretty borderline. No problems here, good luck. ~ <font color=""#000000"">"
George The Dragon,Wisdom89,-1,-1,2008,"19:31, 20 April 2008",'''Oppose''' anyone who present the community with such a fait accompli. Seven supports before the community has chance to comment? That's not fair
Malleus Fatuarum,TenPoundHammer,-1,-1,2008,"20:11, 19 March 2008","'''Oppose'''. As unfashionable as it appears to have become, I am in agreement with Kurt that five RfAs in less than a year is too many, and perhaps indicative of too great a desire to become an administrator. --"
Malinaccier,Icewedge,1,1,2008,"00:54, 20 December 2008","'''Support'''. Sorry I'm late!  Good user=good admin. <font  face=""georgia"">'''"
Coppertwig,EdJohnston,1,1,2008,"02:28, 17 February 2008","'''Support.''' The candidate helped me get oriented when I was a new user.  That's probably enough reason for support right there, but I looked over some of the candidate's contribs anyway, and found a lot of knowledgeable actions, such as [http://en.wikipedia.org/w/index.php?title=Wikipedia:Conflict_of_interest/Noticeboard&diff=prev&oldid=178177628 reverting] a premature closure of a discussion by an involved user; [http://en.wikipedia.org/w/index.php?title=Richard_Stallman&diff=prev&oldid=178354774 enforcing] the BLP policy; an [http://en.wikipedia.org/w/index.php?title=Wikipedia:Articles_for_deletion/Christofascism_%282nd_nomination%29&diff=prev&oldid=179434434 informative] AfD vote, a lot of work on the Conflict of Interest Noticeboard, etc.  Coincidentally, in going through this candidate's contribs I happened to run across a support vote for the first RfA I ever supported, Salix alba's. --"
Number 57,Bettia,1,-1,2008,"13:45, 12 September 2008",'''Support''' Had good interactions with AfDs and prods with Bettia. He knows his stuff.
NorseOdin,Moni3,1,1,2008,"22:29, 20 August 2008",'''Support'''. Record is impressive and solid. Deserves the promotion.
Sceptre,J Greb,1,1,2008,"14:54, 5 March 2008",'''He's not already?''' '''
ThinkBlue,Fritzpoll,1,1,2008,"00:55, 21 May 2008","'''Support''' User knows their way through Wikipedia. --<span style=""font-family:Times New Roman"">[[User:ThinkBlue|'''<span style=""background:Blue;color:White""> &nbsp;ThinkBlue&nbsp;</span>''']] </span><span style=""font-family:Times New Roman"">[[User_talk:ThinkBlue|(Hit]]</span> <span style=""font-family:Times New Roman"">"
Majorly,Alexf,1,1,2008,"02:20, 18 January 2008",'''Support''' Canvassing is good. See [[User:Majorly/RfA#On_canvassing|here]] for my rationale. This user appears to be a good candidate. '''
Ironholds,Dendodge,1,-1,2008,"12:22, 7 December 2008","'''Support''': no clear reason to oppose. Has clue, will travel."
Hoary,Risker,1,1,2008,"04:00, 12 May 2008",'''Support''' per Bigtimepeace. --
Bhadani,Cobaltbluetony,1,1,2008,"17:38, 30 March 2008",'''Support''' - Yes. --
Mazca,Natl1,1,-1,2008,"17:07, 1 August 2008","'''Support''', overall I like what I've seen so far having a look through your contributions. Some nice work at Images for upload is what makes me happiest to support - we need more admins that are competent in image policy and it certainly seems to me that you are. Good AIV reports too, and no evidence that i've seen indicates you're some kind of crazy nut or anything! Looks like a good candidate to me. ~ <font color=""#228b22"">"
Daniel,Sabine's Sunbird,1,1,2008,"01:44, 9 April 2008",
Rodhullandemu,EclipseSSD,-1,-1,2008,"00:14, 20 April 2008","'''Oppose''' per [[User:Wisdom89]] but reluctantly as I don't want to stifle enthusiasm. The age issue is irrelevant to me, but I believe you need a little wider and deeper experience than you currently have. I think everyone here wants you to succeed but don't feel you're quite experienced enough yet. --'''"
Garden,Ynhockey,1,1,2008,"21:34, 21 October 2008","I don't see a need per se, but I do see a trustworthy well intentioned editor."
Daniel Case,John Carter,1,1,2008,"16:05, 8 January 2008",'''Solid support''' Ditto. How could he ''not'' have had the tools by now?
DGG,Jclemens,1,1,2008,"12:24, 26 November 2008","'''support''' A good editor with sensible opinions about policy, and the ability to deal with differences.  '''"
Shojaijekhi,Keilana,1,1,2008,"18:33, 12 January 2008",'''Strong support''' I strongly support this candidates try for adminship. I hope Keilaba succeeds and gets the position.
Majoreditor,Soxred93,0,1,2008,"06:03, 14 June 2008","'''Neutral'''. The candidate's answers to some of the questions, particularly #1 and #4, are unsatisfying."
Mr.Z-man,Ameliorate!,1,1,2008,"04:55, 6 October 2008","<font face=""Broadway"">"
Axl,Wisdom89,1,-1,2008,"10:21, 8 November 2008","'''Support'''. Some errors at UAA, but not serious enough to oppose."
Dr.Kane,Sephiroth BCR,1,1,2008,"03:11, 11 January 2008",'''Support''' Everything seems good...
OhanaUnited,Geni,-1,-1,2008,"02:51, 22 August 2008",'''Oppose'''. No need to guess how you'll use the tools. Others have very good points against you as well.
Masterpiece2000,Ed Poor,1,-1,2008,"09:49, 18 July 2008",'''Support''' I see no reason not to give him another chance. I don't think he will repeat his mistakes.
DiverseMentality,Mufka,-1,-1,2008,"23:15, 14 October 2008","'''Oppose'''. Candidate seems a little ""deletion happy"". Lacks communication skills as well."
Useight,L'Aquatique,0,1,2008,"02:44, 23 July 2008","'''Neutral for now'''. I agree with Wisdom (in the oppose section) in that there is a little lack of experience, however, I've seen this editor around here and there and they've demonstrated a seemingly good knowledge of how everything works. A bit more userspace edits (proportionally) than I would like, and a bit more Huggling recently than I would like. I'll take an extra close look and come back to this one."
Husond,Kakofonous,1,1,2008,"00:27, 7 May 2008","'''Support''' I see no cons. Furthermore, I am really not convinced by the opposition. Four months is plenty of time, plenty of time for dedication. <strong><font style=""color: #082567"">[[User:Husond|Hús]]</font>"
