SRC,TGT,VOT,RES,YEA,DAT,TXT
Mohamed CJ,INeverCry,1,1,2013,"06:55, 1 February 2013",'''Support''' I've known INeverCry for a while both here and in the commons. He was always nice and encouraged me to do more work. I believe he would be one of the better admins rather than borderline. <b>
Kraxler,Paulmcdonald,1,1,2013,"14:28, 1 May 2013","'''Very strong support''' - Apparently there is a big backlog at AfD, and some ""prolific"" and celebrated ""content creators"" are providing new entries at AfD every day. So, every hand in this area is more than welcome."
Foxj,Darkwind,1,1,2013,"01:05, 31 December 2012",Looks strong. —
Hawkeye7,Paulmcdonald,1,1,2013,"01:29, 3 May 2013",'''Support''' Good to see someone with a healthy proportion of mainspace edits. Nobody should show up here with less than 50% and expect my vote. A little disappointing that this editor can devote over 100 edits to an article and its still a start class.
Mabdul,Secret,1,1,2013,"06:29, 12 February 2013","'''Support''', although I <s>was opposing</s> was undecided last time, I shortly recognized after the RfA that this was a mistake and thus I'm supporting now! <small style=""font: 12px Courier New; color: #000000; display:inline;border:#009 1px dashed;padding:1px 3px 1px 4px;background-color:#fff"">[[User talk:Mabdul|mabdul]]</small> 06:24, 12 February 2013 (UTC) (corrected, reread the last RfA. <small style=""font: 12px Courier New; color: #000000; display:inline;border:#009 1px dashed;padding:1px 3px 1px 4px;background-color:#fff"">"
AutomaticStrikeout,Tokyogirl79,1,1,2013,"18:00, 11 March 2013","'''Support''' Quality candidate. '''''<span style=""text:#808080 0.2em 0.2em 0.2em"">[[User:AutomaticStrikeout|<font color=""dark blue"">Automatic</font>]]"
Amadscientist,Nthep,1,1,2013,"10:13, 24 March 2013","'''Support''' - At first I was a little concerned by the answer to the conflict question, but a quick look made me realize the problem was not the RFA candidate at all, but a truly confrontational editor that was simply unable to express themselves clearly and was not getting an answer to his ""question"" (and I use that term loosely here) in any of the venues he was asking because it was a very badly formulated question with distracting graphics and long over written, and confusing prose. That was a no win scenario as Nthep gave a number of answers to cover what he thought was the question. I thought it was fine but the contributor that was asking flipped out and ""nutted"" up. The reason it turns out was the editor did not have even a basic understanding of how to download an image to his own computer and had over complicated his question so much it was impossible for anyone to know their basic limitations.--"
Rivertorch,BDD,1,1,2013,"04:33, 23 April 2013","'''Support'''. On Wikipedia, as in the larger world, there are creators and there are custodians of that which has been created. Both roles are critical, and neither should be dismissed as inferior or unimportant. Of course, there are those who flourish in both roles, but likely there aren't enough of them to constitute a sufficient pool of RfA candidates. BDD looks to be a highly competent, productive editor who would not abuse the tools."
Dirtlawyer1,Miniapolis,1,1,2013,"00:28, 11 February 2013","'''Support'''.  Solid ""young"" editor with over 12,000 total edits and almost 7,500 to article space.  I had more that I was going to say, but you know what?  Ed's comment immediately above sums it up nicely: she's good now, and with time and a little growth in the job, she has the potential to be a great admin."
Trusilver,Miniapolis,1,1,2013,"04:00, 12 February 2013","'''Support''' I stayed on the fence for a long time with this one, almost entirely because of DGG's oppose below, but I feel he was mistaken. I see no legitimate reason to oppose this user... and a lack of admin-related experience isn't a legitimate reason. I am sure the candidate doesn't need to be reminded to be careful while making the transition into mop-related duties, but here is the reminder again all the same."
