SRC,TGT,VOT,RES,YEA,DAT,TXT
JPG-GR,Geni,-1,1,2009,"08:22, 20 January 2009",'''Oppose''' per [[Wikipedia:Requests_for_arbitration/Daniel_Brandt_deletion_wheel_war#Geni.2C_with_history]].
Orlady,decltype,1,1,2009,"13:45, 26 June 2009","'''Support''' I have formed a positive impression of this user's contributions (which I've seen in various places) and (like several other !voters here) I'm impressed with the way decltype ""errs on the side of caution"" in dealing with articles that are candidates for deletion. --"
JayHenry,Malik Shabazz,1,1,2009,"04:20, 23 October 2009",'''Support''' First encountered Malik on the [[Emma Goldman]] article (one of Wikipedia's finest articles) and have been impressed every time I've ever seen his edits. --
David Fuchs,NuclearWarfare,1,1,2009,"14:20, 21 August 2009","'''Support''' I admit I have not had too much interaction with Nuke but I have found him friendly, helpful, and willing to get down and dirty in the areas that need some tough work ([[WP:FAC]] image reviews are truly a coalition of the willing.) Plenty of solid article contribs, and as that was the major issue at his last RfA I don't feel like there should be much in the way of lingering doubts. --<font color=""#cc6600"">"
Dylan620,AtheWeatherman,-1,-1,2009,"11:43, 28 August 2009","Regretfully. I generally have respect for you, Andy, though I would prefer if you had more experience first. First of all, your edit count (at just under 3,500) may be regarded as a bit thin; while [[Wikipedia:Requests for adminship/Maedin|there's no overall problem with that]], you made just 226 edits since February (only 6.5% of your total editcount), so your activity could use a boost. In other areas, your article work is good and so is your anti-vandalism work, but only 95 or so deleted edits is just not enough IMO for a candidate who plans to help out at CSD. I'm not going to go as far as to apply [[WP:NOTNOW]] to you, Andy, though some more experience would be beneficial. Cheers, '''"
Ktr101,Tinucherian,1,1,2009,"16:23, 14 October 2009",'''Support''' No concerns.
Protonk,Synergy,1,-1,2009,"22:30, 15 April 2009","'''Weak support''' opposes range from convincing to ""lolirc"".  The withdrawal of the RfA and subsequent return doesn't really signal steely nerves but I am loath to interpret more than that.  Has a demonstrated need for the tools."
Dravecky,Gaia Octavia Agrippa,-1,-1,2009,"04:59, 6 May 2009","'''Oppose''' over concerns about the answers given above and the issue of experience.  I'm not looking for a dozen FAs or a thousand vandals taken down but the contributions to date seem only somewhat substantial.  Perhaps in six months after more thought on the process, but not yet. -"
ChildofMidnight,The ed17,1,1,2009,"06:30, 19 September 2009",'''Support''' Looks good. Diffs below look fairly reasonable to me. We're human after all.
Coffee,Fastily,1,1,2009,"23:39, 10 July 2009","'''Support''' No need to oppose, and per Q 9. -<small style=""color:#999;white-space:nowrap"">"
Atama,Katerenka,-1,-1,2009,"17:16, 26 October 2009","'''Oppose''' - I don't have a problem with the username changes, Katarenka has been totally up-front about that, in fact even more transparent than she should be in my opinion (giving out personal info). But the experience issues that GlassCobra brought up are troubling. Consider this a suggestion to retry again in the future after more contributions. -- '''"
Nihonjoe,Sky Harbor,1,1,2009,"07:08, 21 August 2009","'''Support'''. I find no merit in the complaint about the fair use image issues below. I also see a lot of very useful editing, and a decent understanding of how things work here. ···"
Pastor Theo,Markhurd,0,-1,2009,"01:15, 16 April 2009",'''Neutral''' An abnormally low edit count for an editor with six years of experience is the only thing that prevents me from offering support.
Juliancolton,Backslash Forwardslash,1,-1,2009,"20:44, 13 February 2009",'''Strong support as nom''' &ndash;
