SRC,TGT,VOT,RES,YEA,DAT,TXT
CambridgeBayWeather,DragonflySixtyseven,1,1,2005,"00:20, 4 October 2005",'''Support'''
Shreshth91,FeloniousMonk,-1,1,2005,"04:29, 12 August 2005",'''Oppose'''. Argumentative. Conflictive.--May the Force be with you!
Appleseed,Halibutt,1,-1,2005,"21:48, 16 November 2005",'''Support'''. Great contributor to Wikipedia.
AllyUnion,Carbonite,0,1,2005,"13:40, 17 Mar 2005",I would personally wait until his edits are attributed to his new user name. --
Samboy,Tony Sidaway,1,1,2005,"01:09, 4 Mar 2005",He's handled disagreements I have had with him in very civil terms.  I also like his strong support of [[Wikipedia:Remove personal attacks]]
Wiki brah,Jobe6,1,-1,2005,"02:42, 11 September 2005",'''Supporte''' He would make a good admin and is very hepful and cool (he is from South America like me too!).
Denelson83,Malathion,1,1,2005,"18:29, 3 August 2005","'''Supporting.''' <span style=""border: 2px solid #ba0000;"">&nbsp;"
Private Butcher,Kzollman,1,1,2005,"19:07, 12 October 2005","'''[[Soup|Support]]''', I think he would make a good admin."
Susvolans,Knowledge Seeker,1,1,2005,"11:50, 11 Mar 2005",Fine and excellent.
Weyes,Eequor (2nd),-1,-1,2005,,"I'm all for neologisms in edit summaries, but some of the edits linked above worry me. --"
Szyslak,GregAsche,1,1,2005,"10:54, 17 October 2005",'''Strong support'''.
Bonaparte,RadioKirk,1,-1,2005,"16:08, 21 December 2005",'''Support''' --
The wub,Ulayiti,1,1,2005,"18:07, 4 September 2005","'''Support''', and not just because he reverted vandalism on my user page :)"
NSLE,Reflex Reaction,1,1,2005,"01:22, 22 October 2005",'''Support''' per above... --
Func,Phil Boswell,1,1,2005,"04:40, 18 August 2005","'''Extreme ultra support'''. Beyond any question or doubt, Phil is qualified, Phil is trustworthy, Phil is perfect admin material."
Babajobu,MONGO,1,1,2005,"18:12, 21 November 2005","'''Strong affirmative action Support''', a good, helpful user, and conservative rural Americans are an exotic species among admins."
Android79,Rx StrangeLove,1,1,2005,,"'''Support'''. Meets [[User:Android79#Administrators|my guidelines]]. <font color=""green"">"
Trampled,Chamaeleon,-1,-1,2005,"20:00, 3 Apr 2005","'''Oppose'''. Seems like a good editor, but I have to agree with [[User:Michael Snow|Michael Snow]]."
Zen-master,Rama,1,1,2005,"05:19, 5 May 2005",'''Support'''.  Will make an excellent admin.
Darwinek,Grm wnr,1,1,2005,"21:39, 12 Jun 2005",'''Support'''. Of course. -
Francs2000,E. Brown,0,-1,2005,"21:29, 24 October 2005",'''Neutral for the moment''' - I would like to see more variety in this user's editing before they are renominated for adminship. --
Jdavidb,DESiegel,1,1,2005,"20:11, 27 September 2005","'''Support''' I just saw DES elsewhere arguing ''against'' deletionist tendencies, so any idea that he'd be too aggressive with deletion powers is unfounded.  Any such idea is further unfounded when you consider that he clearly repeats at every turn that he believes in not just deleting articles on his own and would instead tag them for someone else to delete and delete articles that other people have tagged.  How can you argue against someone who so clearly respects consensus as a principle in policy-making?  Looking at WP:RFA today I was somewhat suprised to see he was currently going through RFA, because I would have assumed he was already."
Deathphoenix,Fastfission,1,1,2005,"20:07, 3 October 2005",'''Extreme Death''' <small>phoenix</small> '''Support'''. <nowiki>{{cliché}}</nowiki>. User has shown a willingness to take on maintenance tasks. --
Bluemoose,Shaddack,1,-1,2005,"10:46, 2 November 2005",Positive contributor.
Dmcdevit,FayssalF,1,1,2005,"04:27, 18 December 2005",A helpful and conscientious editor. Worthy of our trust.
Canderson7,JeremyA,1,1,2005,,'''Support'''.  Very impressive RC patrolling.  Great admin material. --
Silversmith,JYolkowski,1,1,2005,"20:55, 3 Jun 2005",'''Support'''. --
Shanes,Redux,1,1,2005,"10:06, 22 July 2005",'''Support'''.
Dbachmann,Clarkk,1,1,2005,"17:18, 15 May 2005",me too.
Aranda56,Freestylefrappe,1,1,2005,"02:18, 13 October 2005",'''Support''' --
Briangotts,Changlc,1,1,2005,"21:00, 10 August 2005",'''Support'''.
bmicomp,Kmccoy,1,1,2005,"20:47, 30 July 2005","'''Support!''' -- [[User:Bmicomp|BMIComp]] [[User_talk:bmicomp|(talk]],"
Susvolans,Thryduulf,1,1,2005,"16:18, 1 Jun 2005","'''Support''', of course."
Bratsche,Who,1,1,2005,"03:00, 23 September 2005",'''Yes yes yes yes yes.''' Can't support any stronger than this.
Thunderbrand,IceKarma,1,1,2005,"19:14, 18 September 2005",'''Support'''.
Norvy,RHaworth,1,1,2005,"00:55, 9 August 2005",'''Support'''  --
Anonymous editor,Ramallite,1,1,2005,"17:30, 31 October 2005",'''Support''' Great editor. I trust him and the opinions of him expressed above. --
oo64eva,Mindspillage,1,1,2005,,"'''Support''', I've seen this user's contributions via [[Special:Recentchanges|rc]] and she's very admin-like in her approach.  In my opinion she's already made the transition. &mdash; <font color=""#cc0000"">''oo64eva (AJ)'' </font><sup>("
Andrevan,dave souza,1,1,2005,,
Merovingian,Ral315,1,1,2005,,"'''That's sweet and sour''', and I thought he was one.  --"
Utcursch,Rick Block,1,1,2005,,'''Strong Support'''.
