SRC,TGT,VOT,RES,YEA,DAT,TXT
Jmh649,Wikiwoohoo,-1,-1,2010,"05:53, 21 February 2010","'''Oppose:''' I find the answers to the questions a little vague. Do not understand for example: ""I like to be able to make a big change"".  This implies future tense?  Would appreciate diffs / links of significant contributions.  The main topic area is the BBC would be useful for this editor to branch out."
Atlan,Eridani,-1,-1,2010,"11:08, 29 June 2010","You've been around longer than all the people opposing above, so I'm not sure ""too soon"" qualifies as a reason to oppose. Then again, judging by the many warnings on your talk page, you do seem to lack an understanding of our image copyright and licensing requirements. In addition to 7 seas' advice, I suggest you work on that too before applying here again.--"
Hokeman,Amatulic,1,1,2010,"13:40, 20 August 2010","'''Support''' - long-term Wikipedian (Jan. 2006); trustworthy (rollbacker, reviewer, no blocks); experienced (>10,000 edits)--"
TTTSNB,Sam Blacketer,-1,-1,2010,"00:36, 4 January 2010","'''Strong Oppose''' Sorry, but I do not trust you, for what should be obvious reasons... <font face=""Segoe Print"">"
EyeSerene,VernoWhitney,1,1,2010,"14:19, 8 November 2010",Per the noms and sound answers to questions.
Bearian,MZMcBride,-1,-1,2010,"20:06, 24 August 2010",'''Oppose''' - I did not read everything [[http://en.wikipedia.org/wiki/Wikipedia:Arbitration/Requests/Case/MZMcBride_2#Findings_of_fact|here]].  The drama outweighs his usefulness.
BigDom,MZMcBride,-1,-1,2010,"08:04, 25 August 2010",A leopard never changes its spots.
Doc Quintana,Floquenbeam,0,1,2010,"21:48, 13 January 2010","'''Neutral''' per question 5 and bits of pieces of other questions. They might be isolated incidents and this RFA is going to pass anyway, so I don't think an oppose is my opinion here, but my concerns prevent support."
Timotheus Canens,Richardcavell,1,-1,2010,"21:59, 1 October 2010","For better or worse, I have no litmus tests; nor am I concerned with something that happened two years ago."
Hi878,Ron Ritzman,1,1,2010,"00:43, 16 September 2010",Appears to be a good candidate. ~~
Valley2city,Blurpeace,1,1,2010,"03:24, 3 May 2010",'''Support'''. Blurpeace iss a great candidate who should have had the mop and bucket long ago. I'm happy to support!
,Kingoomieiii,-1,-1,2010,,
Phantomsteve,Otherlleft,1,-1,2010,"16:08, 1 February 2010",'''Support''' I feel that this candidate would be trustworthy. I don't think this editor would [[WP:IDIOT|delete the main page]] or {{plainlinks|url=http://en.wikipedia.org/w/index.php?title=Special%3ALog&type=block&user=&page=User%3AJimbo+Wales&year=&month=-1&tagfilter=|name=block Jimbo}}.. -- '''''
Literaturegeek,Soap,1,1,2010,"23:02, 9 June 2010","'''Support'''. I don't usually vote on people I don't know but reading about Soap, I am particularly impressed and can see how the tools would benefit him. A great candidate.--"
Fastily,Dylandlima,-1,-1,2010,"03:13, 8 August 2010",'''Oppose'''. Concerns with experience and policy knowledge. -'''
Protonk,Kww,1,1,2010,"23:57, 14 April 2010","Just as I did in 3/2, for similar reasons.  Nothing about the candidate has changed in the interim."
PeterSymonds,Cgoodwin,1,-1,2010,"19:29, 1 August 2010","'''Support'''. The opposition is utterly unconvincing. You don't have to spend years on Huggle or requesting page protection to make a good administrator. Cgoodwin already has extensive experience as to what warrants deletion based on his solid and extensive mainspace work. Furthermore, I have no reason to doubt he's any more unfamiliar with the various admin policies. This is definitely a net positive. <font face=""Arial"">"
Nascar1996,JamesBWatson,1,1,2010,"04:20, 17 June 2010",'''Support'''  --'''
A Nobody,Ironholds,-1,-1,2010,"04:55, 2 January 2010","'''Oppose''' per [[User:A_Nobody/RfA#RfA_Standards]].  I hate to oppose on a holiday and so will not make an elaborate oppose paragraph as I usually would, but sufficient concerns have been raised to give me pause.  Sincerely, --"
Aiken drum,Herostratus,-1,-1,2010,"21:15, 23 June 2010","'''Oppose''' Continuation. Looks like I'm agreement with Iridescent and Malleus Fatuorum. This candidate wouldn't have a hope of passing today. '''<span style=""font-family:Century Gothic"">"
