SRC,TGT,VOT,RES,YEA,DAT,TXT
Nick-D,Buggie111,1,-1,2011,"03:45, 24 December 2011","'''Support''' Buggie111 is a good editor who I think can be trusted to use the tools sensibly. Some of the above answers to questions seem a bit under-developed, but the questions are also awkwardly phrased and there's no expectation that new admins will be an expert in all areas of admin-ship when they first get the tools (that's what the [[Wikipedia:New admin school|new admin school]] is for) as long as they're level-headed and cautious, which I think is the case here."
Beyond My Ken,Drmies,1,1,2011,"09:24, 21 May 2011","'''Support''' - Will be a good admin, in my opinion."
NativeForeigner,January,1,1,2011,"05:30, 3 June 2011",Clueful at UAA. ''
Ottawa4ever,Dylan620,1,-1,2011,"10:50, 20 April 2011","'''Weak Support''' I was considering an oppose per NW, (and that Im weary over the recent editing exp and time, it is too small....) but I think you would be a net benefit based on previous editing time and some of your views/answers on questions. I and others are giving you the thumbs up, make us proud."
SmokeyJoe,January,1,1,2011,"03:25, 3 June 2011",Perfect answer to Q7. --
Inka 888,My76Strat,1,-1,2011,"04:35, 12 March 2011","No major concerns. <font color=""00ff00"">"
Boing! said Zebedee,Ebikeguy,0,-1,2011,"10:50, 29 May 2011","'''Neutral'''. This is someone I'm sure I will support at some point - I'm just not sure this is that point yet. What work I've seen looks great, but I just don't think I'm able to see enough of it and enough variety at the moment to be sure. But then, I really don't want to oppose on edit count - arrgh, this really is a ""don't know"" --"
ebe123,RHM22,1,1,2011,"19:18, 12 April 2011",'''Support''' Seems like a good candidate.  ~~
Stwalkerster,DeltaQuad,1,1,2011,"15:32, 13 May 2011","'''Strong Support''' Should have been an admin a few months ago IMHO :D '''<font face=""Verdana"">&#91;"
Kangaroopower,The Blade of the Northern Lights,1,1,2011,"04:08, 1 December 2011","'''Support'''- Good User, nice personality. --'''"
Sumsum2010,ErrantX,1,1,2011,"23:57, 15 February 2011","'''Support''' a very tustworthy editor. [[User:Sumsum2010|<font color=""#FF7F00"">Sumsum2010</font>]]·[[User talk:Sumsum2010|<font color=""#007AFF"">T</font>]]·[[Special:Contributions/Sumsum2010|<font color=""#7FFF00"" >C</font>]]·"
Hokeman,Snottywong,1,-1,2011,"01:55, 22 February 2011","'''Support''' Cerebral, level-headed answers. A quick review of his contributions reveals a high level of technical expertise. I suspect that the candidate will be a tough but fair sysop, just like on RfA--"
My76Strat,Reaper Eternal,1,1,2011,"13:09, 21 July 2011",I have observed and interacted with Reaper Eternal many times and am unequivocal in my support. I anticipate a rush of activity to this section.
Axl,Fæ,1,1,2011,"09:45, 15 March 2011",'''Support'''. Fæ has all the right skills and experience.
Soap,Reaper Eternal,1,1,2011,"00:56, 22 July 2011",'''Support''' <b>
Monterey Bay,RHM22,0,1,2011,"01:56, 16 April 2011",'''Neutral'''-  Seems to be too soon.
True Pagan Warrior,Anomie,1,1,2011,"22:50, 24 September 2011","Yes, solid editor, wants to contribute more, no compelling reason not to.--'''~"
Ceranthor,JaGa,1,1,2011,"14:03, 10 March 2011",Sufficiently reliable and trustworthy. JaGa has done some good things. '''
Sven Manguard,Staffwaterboy,-1,-1,2011,"21:04, 13 February 2011","'''Oppose''' The only concern raised above that dosen't bother me is the grammar/capitalization issue (although that won't endear you to me.) More concerning to me is the long absences you've taken. They're fine, but running for adminship right after a four month absence is not something I can support."
Kumioko,Slon02,1,1,2011,"20:54, 16 December 2011","'''Support''' - I don't remember ever bumping into this editor but they seem like a solid candidate. I see no reason to oppose other than speculation and since my crystal ball is broken, why not! --"
Hugahoody,The Bushranger,1,1,2011,"12:54, 22 February 2011",'''Support'''. Good work so far with GAs and similar edits. I see no reason why you shouldn't be given the tools. '''
Carrite,Bahamut0013,1,1,2011,"22:36, 11 April 2011",'''Support.'''
Diannaa,Dylan620,-1,-1,2011,"22:15, 23 April 2011",'''Oppose'''. (1) Per the problem Courcelles pointed out; if the user is going to be enforcing policy they need to be pretty conversant in it or read up ''before'' they act. (2) Wants to work with files but does not seem to have any experience in this area. --
Eglinton2,ErrantX,1,1,2011,"23:18, 14 February 2011",I fully agree for Errant to be an administrator. Thats my vote.
Ottawa4ever,Boing! said Zebedee,1,1,2011,"14:44, 23 February 2011","'''Support''' Ive always been impressed, trusted and respected Boings editing, Boing will make a fine aaddition. (The answer to 6 has swayed me completely of any doubts as well ;) )"
Strikerforce,RadioFan,1,-1,2011,"23:36, 6 March 2011",'''Support''' as nominator.
Wizardman,Feezo,1,1,2011,"02:55, 22 March 2011","[[User:Wizardman|<span style=""color:#030"">'''''Wizardman'''''</span>]] <sub>"
Ched Davis,Hallows AG,0,-1,2011,"04:51, 8 December 2011","Don't have the heart to pile on here, but I do encourage Hallows AG to continue his great efforts here.  Brush up on policies and guidelines, join some talk on those pages .. work on communication .. expand your skill set; and I'll gladly support in a few months.  Thank you for all you do. — <small><span style=""border:1px solid #000000;padding:1px;""><b>"
Baseball Watcher,Ant682,-1,-1,2011,"17:25, 23 April 2011","'''Oppose''' Per [[WP:NOTNOW]]. <font face=""Comic Sans MS"">"
First Light,Jimp,1,1,2011,"01:43, 8 June 2011",'''Support''' Will obviously put the tools to good use.
Atama,Worm That Turned,1,1,2011,"18:22, 30 June 2011","'''Support''' - Most of my reasons for supporting have already been mentioned above (good answers, good contributions, no serious problems), but I'd like to also add that I've seen WTT involved in numerous discussions and he has always struck me as being very cordial and full of [[WP:CLUE|clue]]. -- '''"
Korruski,Lear's Fool,1,1,2011,"09:30, 6 January 2011","'''Support''' I don't place the same importance on q3 as some of the opposers do, and the other questions, as well as my experience of Lear's Fool lead me to think he will be a net positive. Noone has a flawless editing history, but there is nothing here that leads me to think he wouldn't do a great job as admin.--"
Axl,5 albert square,0,1,2011,"10:09, 5 February 2011","'''Neutral'''. From the answer to question 1: ""''I would expect the use of my tools to be mainly dealing with vandalism (page protection, reversion of obvious vandalism, protection of articles when necessary etc).... I would also help with dealing with the backlogs at WP:RFPP''."" Repeated declaration of her intention to protect pages is unnecessary. Reversion of vandalism does not require the tools. From the answer to question 7: ""''I would be very likely to close AfD discussions.''"" Why didn't she mention this in the answer to question 1? On the other hand, 5 albert square is a good contributor."
Boing! said Zebedee,Glane23,1,-1,2011,"22:18, 15 February 2011","'''Support'''. Do I have the honour of being the first? Long-standing editors with great records and a willingness to chip in with the cleanup tasks as and when needed are exactly what we want as admins, so I have no hesitation. --"
NuclearWarfare,Guoguo12,1,-1,2011,"14:24, 20 June 2011","'''<font color=""navy"">"
Deb,Reaper Eternal,1,1,2011,"16:36, 24 July 2011",'''Support''' - looks good to me.
Athaenara,Ironholds,1,1,2011,"20:37, 2 January 2011","'''Support''' for the fourth time ([http://en.wikipedia.org/w/index.php?title=Wikipedia:Requests_for_adminship/Ironholds&diff=prev&oldid=218349643 1st], [http://en.wikipedia.org/w/index.php?title=Wikipedia:Requests_for_adminship/Ironholds_2&diff=prev&oldid=244627765 2nd], [http://en.wikipedia.org/w/index.php?title=Wikipedia:Requests_for_adminship/Ironholds_4&diff=prev&oldid=335361215 3rd])! –"
Hydroxonium,N5iln,1,-1,2011,"04:48, 22 July 2011","'''Support''' - A clueful, long term  editor that has experience in many different areas of the project. Cordial, inviting and has helped Wikipedia in many different ways. Alan can be trusted with the tools and has shown a willingness to learn and improve. I'm certain he will work on the areas mentioned in the oppose section and the username issue has already been taken care of and therefore moot at this point. I do not feel the concerns raised so far are sufficient to deny granting the bit to a valued editor such as this. - '''''"
A7x,Redrose64,1,1,2011,"00:49, 8 October 2011","'''Support''', Good luck! —"
Jsfouche,The Blade of the Northern Lights,1,1,2011,"16:28, 4 December 2011","'''Support''' - he does excellent work!  I wondered when someone would nom him!  Will be a great Admin! <font style=""font-family:Monotype Corsiva; font-size:15px;"">"
ZooPro,GiantSnowman,1,-1,2011,"01:52, 20 January 2011","'''Support''' - RfA has become a blood sport, I support on the grounds that I consider you an experienced editor who is in good standing with the community, who cares if you didnt answer some of the questions ""correctly"", I assume good faith and I assume you are some what nervous (under the circumstances you would be). C'mon people how about you stop being so cruel and opposing for ""technical"" reasons, I mean half of you on here would never have the guts to go through RfA. Assume some good faith (or is RfA in a league of its own rules on Wikipedia)."
Shadowjams,MichaelQSchmidt,-1,1,2011,"09:41, 3 December 2011","'''Oppose''' - Hullabaloo says it well, and I agree with Cunard too. I simply don't trust Schmidt closing AfDs. Imagine if an extreme deletionist editor had the same history... how would that RfA go?"
Jafeluv,Anomie,1,1,2011,"10:38, 28 September 2011",Absolutely.
NeilN,SarekOfVulcan,1,1,2011,"00:04, 3 May 2011",'''Support''' - Sarek is and will continue to be a good admin. --
