SRC,TGT,VOT,RES,YEA,DAT,TXT
Cyan,Ark30inf,1,1,2003,"04:30, 21 Sep 2003",Support. --
Silsor,Andres,1,1,2003,,Support.  I especially like his edit summaries.
Adam Bishop,Michael Hardy,1,1,2003,"17:15, 3 Dec 2003","Support, I also assumed he was an admin (I guess I assume anyone who has been here longer than me is an admin :))"
Angela,Evil saltine,1,1,2003,,Support.
Next Paige,Dysprosia,1,1,2003,"21:39, 27 Aug 2003","Support.  Good work editing, stays NPOV, polite, etc.  I agree that anyone already doing so much housekeeping/clean-up would probably be a helpful admin.  Although only a member for a while, the contribution record speaks for itself."
Menchi,Cyan,1,1,2003,,"Support: Seen him copyediting and updating materials around, and he seems to be the ""light housekeeper"" type. --"
Arwel Parry,Pakaran,1,1,2003,"16:13, 5 Dec 2003",Support. Seems a sensible contributor.
Jwrosenzweig,Sugarfish,1,1,2003,"04:49, 18 Sep 2003","Support: a quick view of his contribution history shows plenty of dedication and no worries, in my opinion."
Jiang,WhisperToMe,1,1,2003,,Support. --
Secretlondon,Timwi,1,1,2003,,Support.
Cyp,Dysprosia,1,1,2003,,Support: I just deleted a page blanked by <strike>him</strike> her.
Angela,Secretlondon,1,1,2003,,Support. --
Angela,SimonP,1,1,2003,"23:36, 14 Dec 2003",Support.
Menchi,Tompagenet,0,1,2003,,Neutral stat: 150 edits in 9 months (since Dec 2002). --
Snoyes,DavidLevinson,1,1,2003,"18:02, 10 Nov 2003",Support.
Alexandros,Tristanb,1,1,2003,"16:03, 25 Oct 2003",Support.
Angela,Arwel Parry,1,1,2003,,Support. I'm sure Arwel would be a great admin.
Poor Yorick,Evil saltine,1,1,2003,"07:15, 15 Oct 2003",Support
Daniel Quinlan,DavidLevinson,1,1,2003,,Support.
,Patrick,1,1,2003,,
Cyan,Sugarfish,1,1,2003,"04:41, 18 Sep 2003",Support. --
Cyan,Jlk73,1,1,2003,"00:49, 4 Sep 2003",Support. We sincerely apologize for not nominating you sooner ;-) --
Menchi,Jdforrester,1,1,2003,,"Support: I read his entire [http://www.jdforrester.org/biography.shtml biography], admittedly short, to see if he's a sicko. And apparently he's not. Just ''another'' computer scientist geek (Yes, probably like ''you''!) who likes to walk around (probably stalking people!!) and studies in the department of a renowned university. Although he seems to have a minor Anglocentric tendency, and a weird one at that, to spell our name as ""Wikip[a]edia"" on his webpage. :-D <br> He's a [[Liberal Democrats (UK)|Liberal Democrat]]. WP doesn't explain their ideology, but assuming from the name, it's not a racist, homophobic crap-party? (No idea) <br> In addition to his seeming intelligent and unbiased life, he writes pretty good too. I like his one-paragraph explanation of the the Brit secondary education system, very encyclopedic. <br> So, I'd say he'll make a good admin so he can do those tweaks he'd like. --"
Ihcoyc,Bcorr,1,1,2003,"20:01, 10 Dec 2003",Support --
Angela,Muriel Gottrop,1,1,2003,,Support.
